Data Filename	Date Acquired	Sample Name	Tx	AnSampleName	aBLQlyte	Matrix	Time_hr	Conc. (nM)_RAW	TxSamp	Conc. (nM)			
201-107_PL14_CDV_663_T72_med2_CC-004-778_040.lcd	8/23/2018	663_T72_med2	NPP663	T72_med2	CDV	media	72	-----	NPP663_T72_med2_CDV	0			
201-107_PL14_CDV_663_T72_med3_CC-004-778_041.lcd	8/23/2018	663_T72_med3	NPP663	T72_med3	CDV	media	72	-----	NPP663_T72_med3_CDV	0			
201-107_PL12_CDV_Lysate_081718_663_T72_lys1_CC-004-773_031.lcd	8/17/2018	663_T72_lys1	NPP663	T72_lys1	CDV	lysate	72	190	NPP663_T72_lys1_CDV	190			
201-107_PL12_CDV_Lysate_081718_663_T72_lys2_CC-004-773_032.lcd	8/17/2018	663_T72_lys2	NPP663	T72_lys2	CDV	lysate	72	243.8	NPP663_T72_lys2_CDV	243.8			
201-107_PL12_CDV_Lysate_081718_663_T72_lys3_CC-004-773_033.lcd	8/17/2018	663_T72_lys3	NPP663	T72_lys3	CDV	lysate	72	259.4	NPP663_T72_lys3_CDV	259.4			
201-107_PL13_CDVPP_Lysate_663_T72_lys1_CC-004-773_031.lcd	8/21/2018	663_T72_lys1	NPP663	T72_lys1	PP	lysate	72	405.7	NPP663_T72_lys1_PP	405.7			
201-107_PL13_CDVPP_Lysate_663_T72_lys2_CC-004-773_032.lcd	8/21/2018	663_T72_lys2	NPP663	T72_lys2	PP	lysate	72	429.4	NPP663_T72_lys2_PP	429.4			
201-107_PL13_CDVPP_Lysate_663_T72_lys3_CC-004-773_033.lcd	8/21/2018	663_T72_lys3	NPP663	T72_lys3	PP	lysate	72	387.6	NPP663_T72_lys3_PP	387.6			
201-107_PL10_T0_ds1_CC-004-767_031.lcd	8/15/2018	T0_ds1	NPP666	T0_ds1	Prodrug	media	0	1268.4	NPP666_T0_ds1_Prodrug	1268.4			
201-107_PL10_T0_ds2_CC-004-767_032.lcd	8/15/2018	T0_ds2	NPP666	T0_ds2	Prodrug	media	0	1294	NPP666_T0_ds2_Prodrug	1294			
201-107_PL10_T0_ds3_CC-004-767_033.lcd	8/15/2018	T0_ds3	NPP666	T0_ds3	Prodrug	media	0	1219.7	NPP666_T0_ds3_Prodrug	1219.7			
201-107_PL10_T72_ds1_CC-004-767_035.lcd	8/15/2018	T72_ds1	NPP666	T72_ds1	Prodrug	media	72	1321.9	NPP666_T72_ds1_Prodrug	1321.9			
201-107_PL10_T72_ds2_CC-004-767_036.lcd	8/15/2018	T72_ds2	NPP666	T72_ds2	Prodrug	media	72	1302.7	NPP666_T72_ds2_Prodrug	1302.7			
201-107_PL10_T72_ds3_CC-004-767_037.lcd	8/15/2018	T72_ds3	NPP666	T72_ds3	Prodrug	media	72	1346.3	NPP666_T72_ds3_Prodrug	1346.3			
201-107_PL10_T72_med1_CC-004-767_039.lcd	8/15/2018	T72_med1	NPP666	T72_med1	Prodrug	media	72	239.4	NPP666_T72_med1_Prodrug	239.4			
201-107_PL10_T72_med2_CC-004-767_040.lcd	8/15/2018	T72_med2	NPP666	T72_med2	Prodrug	media	72	289.1	NPP666_T72_med2_Prodrug	289.1			
201-107_PL10_T72_med3_CC-004-767_041.lcd	8/15/2018	T72_med3	NPP666	T72_med3	Prodrug	media	72	270.4	NPP666_T72_med3_Prodrug	270.4			
201-107_PL11_T72_lys1_CC-004-770_031.lcd	8/15/2018	T72_lys1	NPP666	T72_lys1	Prodrug	lysate	72	946	NPP666_T72_lys1_Prodrug	946			
201-107_PL11_T72_lys2_CC-004-770_032.lcd	8/15/2018	T72_lys2	NPP666	T72_lys2	Prodrug	lysate	72	862	NPP666_T72_lys2_Prodrug	862			
201-107_PL11_T72_lys3_CC-004-770_033.lcd	8/15/2018	T72_lys3	NPP666	T72_lys3	Prodrug	lysate	72	876.1	NPP666_T72_lys3_Prodrug	876.1			
201-107_PL14_CDV_666_T0_ds1_CC-004-778_043.lcd	8/23/2018	666_T0_ds1	NPP666	T0_ds1	CDV	media	0	-----	NPP666_T0_ds1_CDV	0			
201-107_PL14_CDV_666_T0_ds2_CC-004-778_044.lcd	8/23/2018	666_T0_ds2	NPP666	T0_ds2	CDV	media	0	-----	NPP666_T0_ds2_CDV	0			
201-107_PL14_CDV_666_T0_ds3_CC-004-778_045.lcd	8/23/2018	666_T0_ds3	NPP666	T0_ds3	CDV	media	0	-----	NPP666_T0_ds3_CDV	0			
201-107_PL14_CDV_666_T72_ds1_CC-004-778_047.lcd	8/23/2018	666_T72_ds1	NPP666	T72_ds1	CDV	media	72	-----	NPP666_T72_ds1_CDV	0			
201-107_PL14_CDV_666_T72_ds2_CC-004-778_048.lcd	8/23/2018	666_T72_ds2	NPP666	T72_ds2	CDV	media	72	-----	NPP666_T72_ds2_CDV	0			
201-107_PL14_CDV_666_T72_ds3_CC-004-778_049.lcd	8/23/2018	666_T72_ds3	NPP666	T72_ds3	CDV	media	72	-----	NPP666_T72_ds3_CDV	0			
201-107_PL14_CDV_666_T72_med1_CC-004-778_051.lcd	8/23/2018	666_T72_med1	NPP666	T72_med1	CDV	media	72	-----	NPP666_T72_med1_CDV	0			
201-107_PL14_CDV_666_T72_med2_CC-004-778_052.lcd	8/23/2018	666_T72_med2	NPP666	T72_med2	CDV	media	72	-----	NPP666_T72_med2_CDV	0			
201-107_PL14_CDV_666_T72_med3_CC-004-778_053.lcd	8/23/2018	666_T72_med3	NPP666	T72_med3	CDV	media	72	219.4	NPP666_T72_med3_CDV	0			
201-107_PL12_CDV_Lysate_081718_666_T72_lys1_CC-004-773_035.lcd	8/17/2018	666_T72_lys1	NPP666	T72_lys1	CDV	lysate	72	1035.8	NPP666_T72_lys1_CDV	1035.8			
201-107_PL12_CDV_Lysate_081718_666_T72_lys2_CC-004-773_036.lcd	8/17/2018	666_T72_lys2	NPP666	T72_lys2	CDV	lysate	72	738.6	NPP666_T72_lys2_CDV	738.6			
201-107_PL12_CDV_Lysate_081718_666_T72_lys3_CC-004-773_037.lcd	8/17/2018	666_T72_lys3	NPP666	T72_lys3	CDV	lysate	72	841.4	NPP666_T72_lys3_CDV	841.4			
201-107_PL13_CDVPP_Lysate_666_T72_lys1_CC-004-773_035.lcd	8/21/2018	666_T72_lys1	NPP666	T72_lys1	PP	lysate	72	1373.4	NPP666_T72_lys1_PP	1373.4			
201-107_PL13_CDVPP_Lysate_666_T72_lys2_CC-004-773_036.lcd	8/21/2018	666_T72_lys2	NPP666	T72_lys2	PP	lysate	72	1392.5	NPP666_T72_lys2_PP	1392.5			
201-107_PL13_CDVPP_Lysate_666_T72_lys3_CC-004-773_037.lcd	8/21/2018	666_T72_lys3	NPP666	T72_lys3	PP	lysate	72	1350.3	NPP666_T72_lys3_PP	1350.3			
201-107_PL10_T0_ds1_CC-004-768_031.lcd	8/15/2018	T0_ds1	NPP669	T0_ds1	Prodrug	media	0	963.4	NPP669_T0_ds1_Prodrug	963.4			
201-107_PL10_T0_ds2_CC-004-768_032.lcd	8/15/2018	T0_ds2	NPP669	T0_ds2	Prodrug	media	0	980.2	NPP669_T0_ds2_Prodrug	980.2			
201-107_PL10_T0_ds3_CC-004-768_033.lcd	8/15/2018	T0_ds3	NPP669	T0_ds3	Prodrug	media	0	1025.8	NPP669_T0_ds3_Prodrug	1025.8			
201-107_PL10_T72_ds1_CC-004-768_035.lcd	8/15/2018	T72_ds1	NPP669	T72_ds1	Prodrug	media	72	1084.3	NPP669_T72_ds1_Prodrug	1084.3			
201-107_PL10_T72_ds2_CC-004-768_036.lcd	8/15/2018	T72_ds2	NPP669	T72_ds2	Prodrug	media	72	1036.3	NPP669_T72_ds2_Prodrug	1036.3			
201-107_PL10_T72_ds3_CC-004-768_037.lcd	8/15/2018	T72_ds3	NPP669	T72_ds3	Prodrug	media	72	1061.3	NPP669_T72_ds3_Prodrug	1061.3			
201-107_PL10_T72_med1_CC-004-768_039.lcd	8/15/2018	T72_med1	NPP669	T72_med1	Prodrug	media	72	268.1	NPP669_T72_med1_Prodrug	268.1			
201-107_PL10_T72_med2_CC-004-768_040.lcd	8/15/2018	T72_med2	NPP669	T72_med2	Prodrug	media	72	277.3	NPP669_T72_med2_Prodrug	277.3			
201-107_PL10_T72_med3_CC-004-768_041.lcd	8/15/2018	T72_med3	NPP669	T72_med3	Prodrug	media	72	360.9	NPP669_T72_med3_Prodrug	360.9			
201-107_PL11_T72_lys1_CC-004-771_031.lcd	8/16/2018	T72_lys1	NPP669	T72_lys1	Prodrug	lysate	72	1280.5	NPP669_T72_lys1_Prodrug	1280.5			
201-107_PL11_T72_lys2_CC-004-771_032.lcd	8/16/2018	T72_lys2	NPP669	T72_lys2	Prodrug	lysate	72	1368	NPP669_T72_lys2_Prodrug	1368			
201-107_PL11_T72_lys3_CC-004-771_033.lcd	8/16/2018	T72_lys3	NPP669	T72_lys3	Prodrug	lysate	72	1784.5	NPP669_T72_lys3_Prodrug	1784.5			
201-107_PL14_CDV_669_T0_ds1_CC-004-778_055.lcd	8/23/2018	669_T0_ds1	NPP669	T0_ds1	CDV	media	0	-----	NPP669_T0_ds1_CDV	0			
201-107_PL14_CDV_669_T0_ds2_CC-004-778_056.lcd	8/23/2018	669_T0_ds2	NPP669	T0_ds2	CDV	media	0	-----	NPP669_T0_ds2_CDV	0			
201-107_PL14_CDV_669_T0_ds3_CC-004-778_057.lcd	8/23/2018	669_T0_ds3	NPP669	T0_ds3	CDV	media	0	-----	NPP669_T0_ds3_CDV	0			
201-107_PL14_CDV_669_T72_ds1_CC-004-778_059.lcd	8/23/2018	669_T72_ds1	NPP669	T72_ds1	CDV	media	72	-----	NPP669_T72_ds1_CDV	0			
201-107_PL14_CDV_669_T72_ds2_CC-004-778_060.lcd	8/23/2018	669_T72_ds2	NPP669	T72_ds2	CDV	media	72	-----	NPP669_T72_ds2_CDV	0			
201-107_PL14_CDV_669_T72_ds3_CC-004-778_061.lcd	8/23/2018	669_T72_ds3	NPP669	T72_ds3	CDV	media	72	-----	NPP669_T72_ds3_CDV	0			
201-107_PL14_CDV_669_T72_med1_CC-004-778_063.lcd	8/23/2018	669_T72_med1	NPP669	T72_med1	CDV	media	72	204.2	NPP669_T72_med1_CDV	0			
201-107_PL14_CDV_669_T72_med2_CC-004-778_064.lcd	8/23/2018	669_T72_med2	NPP669	T72_med2	CDV	media	72	263.5	NPP669_T72_med2_CDV	0			
201-107_PL14_CDV_669_T72_med3_CC-004-778_065.lcd	8/23/2018	669_T72_med3	NPP669	T72_med3	CDV	media	72	233.3	NPP669_T72_med3_CDV	0			
201-107_PL12_CDV_Lysate_081718_669_T72_lys1_CC-004-773_039.lcd	8/17/2018	669_T72_lys1	NPP669	T72_lys1	CDV	lysate	72	1370.8	NPP669_T72_lys1_CDV	1370.8			
201-107_PL12_CDV_Lysate_081718_669_T72_lys2_CC-004-773_040.lcd	8/17/2018	669_T72_lys2	NPP669	T72_lys2	CDV	lysate	72	1509.7	NPP669_T72_lys2_CDV	1509.7			
201-107_PL12_CDV_Lysate_081718_669_T72_lys3_CC-004-773_041.lcd	8/17/2018	669_T72_lys3	NPP669	T72_lys3	CDV	lysate	72	1706.7	NPP669_T72_lys3_CDV	1706.7			
201-107_PL13_CDVPP_Lysate_669_T72_lys1_CC-004-773_039.lcd	8/21/2018	669_T72_lys1	NPP669	T72_lys1	PP	lysate	72	1292.9	NPP669_T72_lys1_PP	1292.9			
201-107_PL13_CDVPP_Lysate_669_T72_lys2_CC-004-773_040.lcd	8/21/2018	669_T72_lys2	NPP669	T72_lys2	PP	lysate	72	1346.7	NPP669_T72_lys2_PP	1346.7			
201-107_PL13_CDVPP_Lysate_669_T72_lys3_CC-004-773_041.lcd	8/21/2018	669_T72_lys3	NPP669	T72_lys3	PP	lysate	72	1422.7	NPP669_T72_lys3_PP	1422.7			
201-107_PL14_CDV_CDV_T0_ds1_CC-004-778_067.lcd	8/23/2018	CDV_T0_ds1	CDV	T0_ds1	CDV	media	0	1315.2	CDV_T0_ds1_CDV	1315.2			
201-107_PL14_CDV_CDV_T0_ds2_CC-004-778_068.lcd	8/23/2018	CDV_T0_ds2	CDV	T0_ds2	CDV	media	0	1146.1	CDV_T0_ds2_CDV	1146.1			
201-107_PL14_CDV_CDV_T0_ds3_CC-004-778_069.lcd	8/23/2018	CDV_T0_ds3	CDV	T0_ds3	CDV	media	0	1066.7	CDV_T0_ds3_CDV	1066.7			
201-107_PL14_CDV_CDV_T72_ds1_CC-004-778_071.lcd	8/23/2018	CDV_T72_ds1	CDV	T72_ds1	CDV	media	72	1314.6	CDV_T72_ds1_CDV	1314.6			
201-107_PL14_CDV_CDV_T72_ds2_CC-004-778_072.lcd	8/23/2018	CDV_T72_ds2	CDV	T72_ds2	CDV	media	72	1130	CDV_T72_ds2_CDV	1130			
201-107_PL14_CDV_CDV_T72_ds3_CC-004-778_073.lcd	8/23/2018	CDV_T72_ds3	CDV	T72_ds3	CDV	media	72	1175.5	CDV_T72_ds3_CDV	1175.5			
201-107_PL14_CDV_CDV_T72_med1_CC-004-778_075.lcd	8/23/2018	CDV_T72_med1	CDV	T72_med1	CDV	media	72	1285.5	CDV_T72_med1_CDV	1285.5			
201-107_PL14_CDV_CDV_T72_med2_CC-004-778_076.lcd	8/23/2018	CDV_T72_med2	CDV	T72_med2	CDV	media	72	1283.5	CDV_T72_med2_CDV	1283.5			
201-107_PL14_CDV_CDV_T72_med3_CC-004-778_077.lcd	8/23/2018	CDV_T72_med3	CDV	T72_med3	CDV	media	72	1217.1	CDV_T72_med3_CDV	1217.1			
201-107_PL12_CDV_Lysate_081718_CDV_T72_lys1_CC-004-773_043.lcd	8/17/2018	CDV_T72_lys1	CDV	T72_lys1	CDV	lysate	72	8.2	CDV_T72_lys1_CDV	0			
201-107_PL12_CDV_Lysate_081718_CDV_T72_lys2_CC-004-773_044.lcd	8/17/2018	CDV_T72_lys2	CDV	T72_lys2	CDV	lysate	72	10.1	CDV_T72_lys2_CDV	10.1			
201-107_PL12_CDV_Lysate_081718_CDV_T72_lys3_CC-004-773_045.lcd	8/17/2018	CDV_T72_lys3	CDV	T72_lys3	CDV	lysate	72	8.1	CDV_T72_lys3_CDV	0			
201-107_PL13_CDVPP_Lysate_CDV_T72_lys1_CC-004-773_043.lcd	8/21/2018	CDV_T72_lys1	CDV	T72_lys1	PP	lysate	72	1.9	CDV_T72_lys1_PP	0			
201-107_PL13_CDVPP_Lysate_CDV_T72_lys2_CC-004-773_044.lcd	8/21/2018	CDV_T72_lys2	CDV	T72_lys2	PP	lysate	72	1.9	CDV_T72_lys2_PP	0			
201-107_PL13_CDVPP_Lysate_CDV_T72_lys3_CC-004-773_045.lcd	8/21/2018	CDV_T72_lys3	CDV	T72_lys3	PP	lysate	72	1.9	CDV_T72_lys3_PP	0			
201-107_PL14_505_505_T72_lys1_CC-004-776_031.lcd	8/22/2018	505_T72_lys1	USC505	T72_lys1	Prodrug	lysate	72	695.5	USC505_T72_lys1_Prodrug	695.5			
201-107_PL14_505_505_T72_lys2_CC-004-776_032.lcd	8/22/2018	505_T72_lys2	USC505	T72_lys2	Prodrug	lysate	72	596.8	USC505_T72_lys2_Prodrug	596.8			
201-107_PL14_505_505_T72_lys3_CC-004-776_033.lcd	8/22/2018	505_T72_lys3	USC505	T72_lys3	Prodrug	lysate	72	535.7	USC505_T72_lys3_Prodrug	535.7			
201-107_PL14_CDV_505_T0_ds1_CC-004-778_079.lcd	8/23/2018	505_T0_ds1	USC505	T0_ds1	CDV	media	0	-----	USC505_T0_ds1_CDV	0			
201-107_PL14_CDV_505_T0_ds2_CC-004-778_080.lcd	8/23/2018	505_T0_ds2	USC505	T0_ds2	CDV	media	0	69.9	USC505_T0_ds2_CDV	0			
201-107_PL14_CDV_505_T0_ds3_CC-004-778_081.lcd	8/23/2018	505_T0_ds3	USC505	T0_ds3	CDV	media	0	-----	USC505_T0_ds3_CDV	0			
201-107_PL14_CDV_505_T72_ds1_CC-004-778_083.lcd	8/23/2018	505_T72_ds1	USC505	T72_ds1	CDV	media	72	-----	USC505_T72_ds1_CDV	0			
201-107_PL14_CDV_505_T72_ds2_CC-004-778_084.lcd	8/24/2018	505_T72_ds2	USC505	T72_ds2	CDV	media	72	91.7	USC505_T72_ds2_CDV	0			
201-107_PL14_CDV_505_T72_ds3_CC-004-778_085.lcd	8/24/2018	505_T72_ds3	USC505	T72_ds3	CDV	media	72	116.2	USC505_T72_ds3_CDV	0			
201-107_PL14_CDV_505_T72_med1_CC-004-778_087.lcd	8/24/2018	505_T72_med1	USC505	T72_med1	CDV	media	72	-----	USC505_T72_med1_CDV	0			
201-107_PL14_CDV_505_T72_med2_CC-004-778_088.lcd	8/24/2018	505_T72_med2	USC505	T72_med2	CDV	media	72	-----	USC505_T72_med2_CDV	0			
201-107_PL14_CDV_505_T72_med3_CC-004-778_089.lcd	8/24/2018	505_T72_med3	USC505	T72_med3	CDV	media	72	162.5	USC505_T72_med3_CDV	162.5			
201-107_PL14_CDV_505_T72_lys1_CC-004-776_031.lcd	8/23/2018	505_T72_lys1	USC505	T72_lys1	CDV	lysate	72	456.4	USC505_T72_lys1_CDV	456.4			
201-107_PL14_CDV_505_T72_lys2_CC-004-776_032.lcd	8/23/2018	505_T72_lys2	USC505	T72_lys2	CDV	lysate	72	385.1	USC505_T72_lys2_CDV	385.1			
201-107_PL14_CDV_505_T72_lys3_CC-004-776_033.lcd	8/23/2018	505_T72_lys3	USC505	T72_lys3	CDV	lysate	72	276.7	USC505_T72_lys3_CDV	276.7			
201-107_PL13_CDVPP_Lysate_505_T72_lys1_CC-004-773_047.lcd	8/21/2018	505_T72_lys1	USC505	T72_lys1	PP	lysate	72	449.5	USC505_T72_lys1_PP	449.5			
201-107_PL13_CDVPP_Lysate_505_T72_lys2_CC-004-773_048.lcd	8/21/2018	505_T72_lys2	USC505	T72_lys2	PP	lysate	72	436.8	USC505_T72_lys2_PP	436.8			
201-107_PL13_CDVPP_Lysate_505_T72_lys3_CC-004-773_049.lcd	8/21/2018	505_T72_lys3	USC505	T72_lys3	PP	lysate	72	420	USC505_T72_lys3_PP	420			
201-107_PL14_CMX_CMX_T0_ds1_CC-004-775_030.lcd	8/22/2018	CMX_T0_ds1	CMX001	T0_ds1	Prodrug	media	0	957	CMX001_T0_ds1_Prodrug	957			
201-107_PL14_CMX_CMX_T0_ds2_CC-004-775_031.lcd	8/22/2018	CMX_T0_ds2	CMX001	T0_ds2	Prodrug	media	0	1012.7	CMX001_T0_ds2_Prodrug	1012.7			
201-107_PL14_CMX_CMX_T0_ds3_CC-004-775_032.lcd	8/22/2018	CMX_T0_ds3	CMX001	T0_ds3	Prodrug	media	0	969.7	CMX001_T0_ds3_Prodrug	969.7			
201-107_PL14_CMX_CMX_T72_ds1_CC-004-775_035.lcd	8/22/2018	CMX_T72_ds1	CMX001	T72_ds1	Prodrug	media	72	887.3	CMX001_T72_ds1_Prodrug	887.3			
201-107_PL14_CMX_CMX_T72_ds2_CC-004-775_036.lcd	8/22/2018	CMX_T72_ds2	CMX001	T72_ds2	Prodrug	media	72	867.9	CMX001_T72_ds2_Prodrug	867.9			
201-107_PL14_CMX_CMX_T72_ds3_CC-004-775_037.lcd	8/22/2018	CMX_T72_ds3	CMX001	T72_ds3	Prodrug	media	72	847.4	CMX001_T72_ds3_Prodrug	847.4			
201-107_PL14_CMX_CMX_T72_med1_CC-004-775_040.lcd	8/23/2018	CMX_T72_med1	CMX001	T72_med1	Prodrug	media	72	521.8	CMX001_T72_med1_Prodrug	521.8			
201-107_PL14_CMX_CMX_T72_med1_CC-004-775_041.lcd	8/23/2018	CMX_T72_med2	CMX001	T72_med2	Prodrug	media	72	580.2	CMX001_T72_med2_Prodrug	580.2			
201-107_PL14_CMX_CMX_T72_med1_CC-004-775_042.lcd	8/23/2018	CMX_T72_med3	CMX001	T72_med3	Prodrug	media	72	486.1	CMX001_T72_med3_Prodrug	486.1			
201-107_PL14_CMX_CMX_T72_lys1_CC-004-777_031.lcd	8/23/2018	CMX_T72_lys1	CMX001	T72_lys1	Prodrug	lysate	72	1588.6	CMX001_T72_lys1_Prodrug	1588.6			
201-107_PL14_CMX_CMX_T72_lys2_CC-004-777_032.lcd	8/23/2018	CMX_T72_lys2	CMX001	T72_lys2	Prodrug	lysate	72	1609.7	CMX001_T72_lys2_Prodrug	1609.7			
201-107_PL14_CMX_CMX_T72_lys3_CC-004-777_033.lcd	8/23/2018	CMX_T72_lys3	CMX001	T72_lys3	Prodrug	lysate	72	1571.1	CMX001_T72_lys3_Prodrug	1571.1			
201-107_PL14_CDV_CMX_T0_ds1_CC-004-778_091.lcd	8/24/2018	CMX_T0_ds1	CMX001	T0_ds1	CDV	media	0	-----	CMX001_T0_ds1_CDV	0			
201-107_PL14_CDV_CMX_T0_ds2_CC-004-778_092.lcd	8/24/2018	CMX_T0_ds2	CMX001	T0_ds2	CDV	media	0	-----	CMX001_T0_ds2_CDV	0			
201-107_PL14_CDV_CMX_T0_ds3_CC-004-778_093.lcd	8/24/2018	CMX_T0_ds3	CMX001	T0_ds3	CDV	media	0	-----	CMX001_T0_ds3_CDV	0			
201-107_PL14_CDV_CMX_T72_ds1_CC-004-778_095.lcd	8/24/2018	CMX_T72_ds1	CMX001	T72_ds1	CDV	media	72	-----	CMX001_T72_ds1_CDV	0			
201-107_PL14_CDV_CMX_T72_ds2_CC-004-778_096.lcd	8/24/2018	CMX_T72_ds2	CMX001	T72_ds2	CDV	media	72	-----	CMX001_T72_ds2_CDV	0			
201-107_PL14_CDV_CMX_T72_ds3_CC-004-778_097.lcd	8/24/2018	CMX_T72_ds3	CMX001	T72_ds3	CDV	media	72	-----	CMX001_T72_ds3_CDV	0			
201-107_PL14_CDV_CMX_T72_med1_CC-004-778_099.lcd	8/24/2018	CMX_T72_med1	CMX001	T72_med1	CDV	media	72	90.8	CMX001_T72_med1_CDV	0			
201-107_PL14_CDV_CMX_T72_med2_CC-004-778_100.lcd	8/24/2018	CMX_T72_med2	CMX001	T72_med2	CDV	media	72	-----	CMX001_T72_med2_CDV	0			
201-107_PL14_CDV_CMX_T72_med3_CC-004-778_101.lcd	8/24/2018	CMX_T72_med3	CMX001	T72_med3	CDV	media	72	-----	CMX001_T72_med3_CDV	0			
201-107_PL14_CDV_CMX_T72_lys1_CC-004-777_035.lcd	8/23/2018	CMX_T72_lys1	CMX001	T72_lys1	CDV	lysate	72	414.7	CMX001_T72_lys1_CDV	414.7			
201-107_PL14_CDV_CMX_T72_lys2_CC-004-777_036.lcd	8/23/2018	CMX_T72_lys2	CMX001	T72_lys2	CDV	lysate	72	244.8	CMX001_T72_lys2_CDV	244.8			
201-107_PL14_CDV_CMX_T72_lys3_CC-004-777_037.lcd	8/23/2018	CMX_T72_lys3	CMX001	T72_lys3	CDV	lysate	72	327.3	CMX001_T72_lys3_CDV	327.3			
201-107_PL13_CDVPP_Lysate_CMX_T72_lys1_CC-004-773_051.lcd	8/21/2018	CMX_T72_lys1	CMX001	T72_lys1	PP	lysate	72	279.8	CMX001_T72_lys1_PP	279.8			
201-107_PL13_CDVPP_Lysate_CMX_T72_lys2_CC-004-773_052.lcd	8/21/2018	CMX_T72_lys2	CMX001	T72_lys2	PP	lysate	72	299	CMX001_T72_lys2_PP	299			
201-107_PL13_CDVPP_Lysate_CMX_T72_lys3_CC-004-773_053.lcd	8/21/2018	CMX_T72_lys3	CMX001	T72_lys3	PP	lysate	72	292.2	CMX001_T72_lys3_PP	292.2			
